model,dataset,image_id,precision,sensitivity,f1,iou,mcc,tvs,cldice,sf1
DCP_1024,AFIO,IM002471,0.8629243913352355,0.5055327014139724,0.637559629716,0.4679541531664252,,0.4,0.704284943234,0.63066589951
DCP_1024,AFIO,IM002587,0.9179505880189539,0.5320241292771589,0.673628107421,0.5078727249800177,,0.277108433735,0.704284943234,0.63066589951
DCP_1024,AFIO,IM002649,0.8954709393261817,0.4218535030407938,0.573522422384,0.40205498592028277,,0.666666666667,0.704284943234,0.63066589951
DCP_1024,AFIO,IM002742,0.7929860687975611,0.38806169665791346,0.521109354396,0.3523650352005382,,0.5,0.704284943234,0.63066589951
DCP_1024,AFIO,IM002743,0.8294957221092901,0.3989929640244075,0.538813194693,0.3687503834116499,,0.583333333333,0.704284943234,0.63066589951
DCP_1024,AFIO,IM003024,0.8707035552917858,0.5297151348574599,0.658695652174,0.49108589951387294,,0.434782608696,0.704284943234,0.63066589951
DCP_1024,AFIO,IM003537,0.9238486304902591,0.48905740539417825,0.63955422757,0.47010637287485674,,0.717948717949,0.704284943234,0.63066589951
DCP_1024,AFIO,IM003630,0.8829557903655512,0.5074848170944247,0.644524700116,0.4754971928821998,,0.305555555556,0.704284943234,0.63066589951
DCP_1024,AFIO,IM003631,0.8850163796301328,0.46452294147396384,0.609260368319,0.43808370340505887,,0.283018867925,0.704284943234,0.63066589951
DCP_1024,AFIO,IM003705,0.7397390780252459,0.42432387219057216,0.539298926987,0.3692055390050366,,0.722222222222,0.704284943234,0.63066589951
DCP_1024,AFIO,IM004162,0.8433887668646527,0.4936237420117855,0.622756655314,0.45217619509062384,,0.571428571429,0.704284943234,0.63066589951
DCP_1024,AFIO,IM004163,0.8395748524159163,0.5262549022826719,0.646977239143,0.4781717335879899,,0.673913043478,0.704284943234,0.63066589951
DCP_1024,AFIO,IM004455,0.9127565857748327,0.44371966897281256,0.597147275782,0.42566640494273633,,0.6,0.704284943234,0.63066589951
DCP_1024,AFIO,IM004512,0.872565289545588,0.4643790150889753,0.606159895151,0.43488481429271797,,0.35,0.704284943234,0.63066589951
DCP_1024,AFIO,IM004513,0.86250877603405,0.5101895523717814,0.641135721164,0.47181733389385677,,0.457142857143,0.704284943234,0.63066589951
DCP_1024,AFIO,IM004515,0.9132128140387241,0.5200012110473535,0.662666930315,0.4955137544539198,,0.318181818182,0.704284943234,0.63066589951
DCP_1024,AFIO,IM004516,0.9123673522876024,0.506516837587952,0.651398372463,0.48301763779765894,,0.117647058824,0.704284943234,0.63066589951
DCP_1024,AFIO,IM004538,0.8853393165568312,0.46586021757293844,0.610486247544,0.43935243279524977,,0.48275862069,0.704284943234,0.63066589951
