Model,Dataset,N,mean_Sensitivity,sd_Sensitivity,min_Sensitivity,max_Sensitivity,mean_Precision,sd_Precision,min_Precision,max_Precision,mean_F1,sd_F1,min_F1,max_F1,mean_IoU,sd_IoU,min_IoU,max_IoU,mean_MCC,sd_MCC,min_MCC,max_MCC
GAVE,DualModal2019,30,0.9194101638504116,0.025895118234215572,0.842918524523713,0.9530286169613541,0.5641107952226824,0.051976009757328745,0.4819639675311819,0.6514060553587363,0.697821454660992,0.042000350842119935,0.6183503031689738,0.7684916689096201,0.5374705992076623,0.049096655648783606,0.44754492009605035,0.6240247422680413,0.6967505276850593,0.037225841360652025,0.6189142101517756,0.7609099071772367
GAVE,HRF,45,0.794580287058414,0.04207532892563577,0.6619568687358756,0.8573148175793852,0.7682429553559205,0.06979775103308096,0.6077124138874624,0.8941253288518083,0.7787315279990076,0.038697310330862135,0.6891294347381169,0.8525848299000965,0.6392878658552359,0.051998314845759584,0.5257036453484208,0.7430482462820005,0.7618818556807826,0.03948103009901514,0.6681779239539686,0.8383615825799233
GAVE,LES,22,0.8291963421001944,0.05476873512000537,0.6970191973068373,0.9019059757263274,0.776034578291362,0.030064655552054162,0.7040541553899747,0.8450783846015967,0.8004312439990613,0.029910434521848148,0.7273267095761714,0.8439791285491631,0.6682850145994723,0.04089301664175928,0.5714952258752563,0.7300725699614289,0.787168781564267,0.030078907322996878,0.7165148198145072,0.8354846547851303
GAVE,STARE,20,0.7932008836752399,0.083127940556825,0.6191347979387035,0.9083979123833623,0.7885812753056206,0.03538276487305858,0.7378982528263104,0.8675938885001167,0.787766858134716,0.04243526756839264,0.6845597331034223,0.8350352292453794,0.6518020462550282,0.05585811346303283,0.5204035107716859,0.7167901126353158,0.7724225420796695,0.042647758963992095,0.6678605381121414,0.8189488258306624
SA-UNnetv2,AFIO,99,0.557890257028109,0.042317275902847354,0.431413881748072,0.7230540633215224,0.8420802418050607,0.056412604718191865,0.6233530881128472,0.9257686427722099,0.6689432385303321,0.03064809906595134,0.5534996932697445,0.7404372863898123,0.5033452716133081,0.03388980532223699,0.382647477290139,0.5878526558376389,0.663720172578043,0.029502858259212773,0.5568764487347226,0.7250497119378513
SA-UNnetv2,CHASEDB1,28,0.843322537108045,0.021580289202428216,0.8021510619852622,0.8831354290968133,0.7631522233125027,0.048998958023151025,0.6725296915269549,0.8409870058059165,0.800065982564216,0.025740639256282137,0.7519625682349883,0.8468922017519114,0.6675269146887234,0.03583742205461187,0.6025160376572524,0.7344432177447684,0.7863376113469548,0.02532626797891459,0.7394948733799654,0.8355222862472107
SA-UNnetv2,DualModal2019,30,0.9485944788538044,0.016635250917593346,0.8985488447507094,0.9695479749493064,0.6186887826583259,0.056743902312495535,0.5126713371915931,0.7146156353308191,0.7474591841715071,0.043382155489412,0.6640932226796259,0.8170285708201801,0.5986525165686175,0.0548284517302583,0.4971104525809024,0.6906579065790658,0.746982696281724,0.0384204658229144,0.6740821608144411,0.8094828669189572
SA-UNnetv2,HRF,45,0.8226342827660693,0.03523870367761099,0.7078641867028284,0.884342741729505,0.6932125265091199,0.07789381091798715,0.5314585682390102,0.8302775360584078,0.7494995294799623,0.04573629924942704,0.6554370338445331,0.8356927484663993,0.6015287384969145,0.059348268734594686,0.4874721752292761,0.7177596354962513,0.7319770713652259,0.04472551450236225,0.6350732820066006,0.8162905819275172
SA-UNnetv2,LES,22,0.872534333982138,0.02894842275754808,0.7980340469562218,0.9180229312491949,0.8015610063129859,0.05474561836327737,0.6598406364627739,0.8839809704237203,0.8340672587133056,0.029853095994259577,0.7510481866107164,0.8744085739539699,0.7164537278218782,0.04254826158650586,0.6013428048697852,0.7768436696658098,0.8236787409525792,0.029059021163929204,0.7433827588044069,0.861303215985844
SA-UNnetv2,STARE,20,0.8362215778301115,0.04292714942805279,0.7343492694147477,0.8951130792345405,0.7792180462585729,0.05563201836550291,0.6784089895656827,0.8719423686898554,0.8056651621838592,0.041144191671237174,0.7091042176733385,0.8585797093777295,0.676501948161129,0.05604661836584842,0.5493117472235257,0.7522029496336147,0.7903294482592957,0.04410736323046721,0.6796098414799284,0.8448508296084482
