Model,ModelFolder,Dataset,Image,Threshold,threshold_source,TP,FP,FN,TN,Sensitivity,Precision,F1,IoU,MCC,GTPath,PredictionPath,ProbabilityPath
DCP_1024,DCP_1024,AFIO,IM001246,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,65907,14770,51773,1371550,0.5600526852481306,0.8169242782949292,0.6645291066108078,0.497599093997735,0.654853272931436,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM001246.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM001246.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM001246_prob.png
DCP_1024,DCP_1024,AFIO,IM001686,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,66025,14848,40025,1383102,0.6225836869401226,0.8164034968407256,0.7064406199344114,0.5461215239292627,0.6945480608205065,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM001686.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM001686.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM001686_prob.png
DCP_1024,DCP_1024,AFIO,IM001749,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,77777,10481,68526,1347216,0.5316158930438883,0.8812458927236058,0.6631707743401503,0.49607740585774057,0.6605477185029447,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM001749.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM001749.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM001749_prob.png
DCP_1024,DCP_1024,AFIO,IM001750,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,67856,10291,70654,1355199,0.4898996462349289,0.8683122832610337,0.6263910235995144,0.4560184407362854,0.628442320954704,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM001750.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM001750.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM001750_prob.png
DCP_1024,DCP_1024,AFIO,IM001791,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,68984,6926,61880,1366210,0.5271426824795207,0.908760374127256,0.6672405621596524,0.5006459104434284,0.6721903044121847,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM001791.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM001791.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM001791_prob.png
DCP_1024,DCP_1024,AFIO,IM001792,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,67873,9510,61749,1364868,0.5236225332119547,0.8771047904578525,0.6557619381174368,0.48783169939338183,0.6563825003584011,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM001792.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM001792.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM001792_prob.png
DCP_1024,DCP_1024,AFIO,IM001814,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,67760,11309,50330,1374601,0.5737996443390634,0.8569730235616992,0.6873640057009824,0.5236516510946762,0.6817323292410993,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM001814.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM001814.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM001814_prob.png
DCP_1024,DCP_1024,AFIO,IM001858,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,72657,8660,57001,1365682,0.5603742152431782,0.8935032035121807,0.6887735513686456,0.5252895501670065,0.6876529732207203,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM001858.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM001858.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM001858_prob.png
DCP_1024,DCP_1024,AFIO,IM001859,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,58530,9524,42732,1393214,0.5780055697102565,0.8600523113997708,0.6913699827541402,0.5283158521834889,0.688677677027036,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM001859.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM001859.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM001859_prob.png
DCP_1024,DCP_1024,AFIO,IM002094,0.45,diagnostic_test_set_scan_equal_dataset_macro_F1,36365,11736,41893,1414006,0.4646809271895525,0.7560133884950417,0.5755822695652862,0.4040824943885148,0.5761490243322257,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\config\test_data\AFIO\masks\IM002094.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\test_data\AFIO\pred_masks\IM002094.png,D:\Retina\Retinal-Vessel-Segmentation-Benchmark-main\Models_output\DCP_1024\probability\AFIO\IM002094_prob.png
