"model","dataset","image_id","f1","f2","tvs","structural_utility"
"DCP-1024","AFIO","IM002348","0.666850719368","0.580718501812","0.5","0.71407242491"
"FR-UNet","AFIO","IM002348","0.686769683591","0.621666267018","0.4375","0.716834912373"
"FSG-Net","AFIO","IM002348","0.724234601559","0.662502869048","0.5625","0.767770037669"
"GAVE","AFIO","IM002348","0.670985134257","0.611912817855","0.25","0.713290250619"
"SA-UNetv2","AFIO","IM002348","0.724553667199","0.667882441863","0.375","0.757551745542"
"DCP-1024","AFIO","IM002350","0.700455148872","0.621513609019","0.102272727273","0.742932863953"
"FR-UNet","AFIO","IM002350","0.711352126563","0.654278341591","0.136363636364","0.732818269802"
"FSG-Net","AFIO","IM002350","0.751509314187","0.701472775716","0.272727272727","0.789292345818"
"GAVE","AFIO","IM002350","0.709825149364","0.661747265348","0.204545454545","0.73038962885"
"SA-UNetv2","AFIO","IM002350","0.738106231504","0.687057521399","0.170454545455","0.778122190317"
"DCP-1024","AFIO","IM002421","0.649474813827","0.560456177429","0.511111111111","0.690821842061"
"FR-UNet","AFIO","IM002421","0.67459979069","0.611333055448","0.555555555556","0.692581642628"
"FSG-Net","AFIO","IM002421","0.712259506868","0.64617640864","0.6","0.757941587448"
"GAVE","AFIO","IM002421","0.703637207735","0.656935594489","0.555555555556","0.723200423918"
"SA-UNetv2","AFIO","IM002421","0.70979125773","0.651471123819","0.577777777778","0.751408741814"
"DCP-1024","AFIO","IM002422","0.659921811455","0.571037546679","0.65306122449","0.700709881781"
"FR-UNet","AFIO","IM002422","0.691328795502","0.62926365695","0.69387755102","0.714258398415"
"FSG-Net","AFIO","IM002422","0.71031600198","0.642466370257","0.714285714286","0.752702535434"
"GAVE","AFIO","IM002422","0.710543245979","0.678095342774","0.65306122449","0.711783636636"
"SA-UNetv2","AFIO","IM002422","0.721420340976","0.669684332586","0.734693877551","0.76339639065"
"DCP-1024","AFIO","IM002471","0.637559629716","0.55118917685","0.4","0.703570930603"
"FR-UNet","AFIO","IM002471","0.646625779028","0.573809553118","0.5","0.697680571058"
"FSG-Net","AFIO","IM002471","0.676401523374","0.60186786579","0.4","0.737697748444"
"GAVE","AFIO","IM002471","0.660183868828","0.602728441659","0.6","0.686097893319"
"SA-UNetv2","AFIO","IM002471","0.7085960326","0.653849726015","0.8","0.766083630488"
"DCP-1024","AFIO","IM002587","0.673628107421","0.580865866463","0.277108433735","0.730372876046"
"FR-UNet","AFIO","IM002587","0.695624271009","0.635821734904","0.349397590361","0.712315072988"
"FSG-Net","AFIO","IM002587","0.736736006645","0.675787681798","0.421686746988","0.795563142435"
"GAVE","AFIO","IM002587","0.711517095414","0.655743933222","0.349397590361","0.731182104222"
"SA-UNetv2","AFIO","IM002587","0.737471937337","0.686767693699","0.457831325301","0.783064361415"
"DCP-1024","AFIO","IM002649","0.573522422384","0.471756171874","0.666666666667","0.620641597133"
"FR-UNet","AFIO","IM002649","0.622036737359","0.538437719639","0.782051282051","0.645802679015"
"FSG-Net","AFIO","IM002649","0.63962335573","0.553664198801","0.730769230769","0.681130428323"
"GAVE","AFIO","IM002649","0.612502177219","0.531967435638","0.576923076923","0.631453756321"
"SA-UNetv2","AFIO","IM002649","0.677664883817","0.60842269586","0.794871794872","0.712479238225"
"DCP-1024","AFIO","IM002742","0.521109354396","0.432200847017","0.5","0.537285996545"
"FR-UNet","AFIO","IM002742","0.587847995059","0.544320379131","0.666666666667","0.575802404966"
"FSG-Net","AFIO","IM002742","0.611415587746","0.557883303986","0.666666666667","0.624000764972"
"GAVE","AFIO","IM002742","0.55476975006","0.469521568201","0.666666666667","0.553257970062"
"SA-UNetv2","AFIO","IM002742","0.581734141698","0.514394768439","0.666666666667","0.593445996546"
"DCP-1024","AFIO","IM002743","0.538813194693","0.445204609805","0.583333333333","0.574844710612"
"FR-UNet","AFIO","IM002743","0.588556363531","0.519348248013","0.75","0.608417279641"
"FSG-Net","AFIO","IM002743","0.6206368473","0.555238694487","0.583333333333","0.653350865787"
"GAVE","AFIO","IM002743","0.552395778429","0.469881301925","0.5","0.580158883405"
"SA-UNetv2","AFIO","IM002743","0.605677236633","0.531053816491","0.708333333333","0.642693800212"
"DCP-1024","AFIO","IM003024","0.658695652174","0.574730812274","0.434782608696","0.701201548667"
"FR-UNet","AFIO","IM003024","0.668800617484","0.607330307041","0.434782608696","0.688538082047"
"FSG-Net","AFIO","IM003024","0.710686591007","0.654809726779","0.478260869565","0.749035983942"
"GAVE","AFIO","IM003024","0.683456318356","0.633794211629","0.521739130435","0.68863320078"
"SA-UNetv2","AFIO","IM003024","0.712189603977","0.664399171201","0.434782608696","0.74844640103"
"DCP-1024","AFIO","IM003537","0.63955422757","0.53987358685","0.717948717949","0.71810822444"
"FR-UNet","AFIO","IM003537","0.665849050096","0.581650103317","0.74358974359","0.71247864224"
"FSG-Net","AFIO","IM003537","0.670190794842","0.578417326305","0.615384615385","0.747242421255"
"GAVE","AFIO","IM003537","0.679716725206","0.621520706042","0.666666666667","0.696357798222"
"SA-UNetv2","AFIO","IM003537","0.71392815725","0.641355836538","0.769230769231","0.781338807731"
"DCP-1024","AFIO","IM003630","0.644524700116","0.554657703937","0.305555555556","0.68253487574"
"FR-UNet","AFIO","IM003630","0.664918179601","0.599775251075","0.305555555556","0.675337195997"
"FSG-Net","AFIO","IM003630","0.704346560119","0.630702533268","0.222222222222","0.751248190259"
"GAVE","AFIO","IM003630","0.680488071617","0.623007330592","0.444444444444","0.685083963015"
"SA-UNetv2","AFIO","IM003630","0.714902707472","0.658338714713","0.361111111111","0.754945365472"
